Time_Second,Trust_Score,Status,Divergence
189,0.3956,Isolated,0.785
190,0.3883,Isolated,0.3568
191,0.3485,Isolated,0.5795
192,0.3436,Isolated,0.3921
193,0.3322,Isolated,0.4351
194,0.445,Challenge,0.038
195,0.3907,Isolated,0.6094
196,0.3461,Isolated,0.6222
197,0.3014,Isolated,0.7301
198,0.2982,Isolated,0.4363
199,0.2869,Isolated,0.494
200,0.3377,Isolated,0.2141
201,0.3427,Isolated,0.3529
202,0.2987,Isolated,0.7304
203,0.3043,Isolated,0.3891
204,0.2703,Isolated,0.699
205,0.2553,Isolated,0.5689
206,0.2337,Isolated,0.6664
207,0.2405,Isolated,0.4588
208,0.2854,Isolated,0.2663
209,0.3359,Isolated,0.2158
210,0.4114,Challenge,0.1175
211,0.4161,Challenge,0.2897
212,0.3839,Isolated,0.4759
213,0.4543,Challenge,0.1067
214,0.4233,Challenge,0.4198
215,0.4452,Challenge,0.2192
216,0.4893,Challenge,0.1414
217,0.4401,Challenge,0.4925
218,0.4643,Challenge,0.2008
219,0.471,Challenge,0.243
220,0.4605,Challenge,0.303
221,0.5612,Challenge,0.0127
222,0.508,Challenge,0.4248
223,0.4433,Challenge,0.5887
224,0.4212,Challenge,0.3826
225,0.3999,Isolated,0.4023
226,0.4083,Challenge,0.2842
227,0.3611,Isolated,0.6124
228,0.4145,Challenge,0.1619
229,0.3798,Isolated,0.4948
230,0.3697,Isolated,0.3869
231,0.3303,Isolated,0.6105
232,0.3818,Isolated,0.185
233,0.3547,Isolated,0.4879
234,0.3324,Isolated,0.4918
235,0.3566,Isolated,0.2752
236,0.3282,Isolated,0.5359
237,0.3332,Isolated,0.3622
238,0.3069,Isolated,0.5574
239,0.2943,Isolated,0.491
240,0.2989,Isolated,0.3996
241,0.2872,Isolated,0.4959
242,0.2976,Isolated,0.3761
243,0.3099,Isolated,0.3567
244,0.2891,Isolated,0.5497
245,0.3015,Isolated,0.3644
246,0.2891,Isolated,0.4976
247,0.3197,Isolated,0.2838
248,0.344,Isolated,0.285
249,0.4407,Challenge,0.0658
